UTD;ZONA;TURMA;CARTEIRA;DATA_PEDIDO;NOTAS_ESPERADAS_ATENA;NOTAS_GERADAS_TAB4;DEFASAGEM_GERACAO;DIA_SEMANA;FLAG_DEF
CONCEICAO DO COITE;67;EPS;RECORTE;2022-08-04;6;5;1;5;N
EUNAPOLIS;93;EPS;CORTE;2022-08-02;12;11;1;3;N
ITAPOAN;254;STC;CORTE;2022-08-05;10;10;0;6;S
CAMACARI;53;STC;CORTE;2022-08-22;16;16;0;2;N
CONCEICAO DO COITE;64;STC;CORTE;2022-08-04;11;11;0;5;N
BARREIRAS;18;EPS;CORTE;2022-08-19;7;7;0;6;N
FEIRA DE SANTANA SUL;128;EPS;CORTE;2022-08-10;18;17;1;4;N
PAULO AFONSO;340;EPS;CORTE;2022-08-12;8;7;1;6;N
IPIAU;190;EPS;CORTE;2022-08-18;8;8;0;5;N
AMARGOSA;5;EPS;RECORTE;2022-08-24;10;9;1;4;N
PERIPERI;348;EPS;BAIXA;2022-08-11;34;32;2;5;N
IRECE;198;EPS;CORTE;2022-08-16;10;7;3;3;N
FEIRA DE SANTANA SUL;127;EPS;CORTE;2022-08-22;18;18;0;2;N
EUNAPOLIS;97;EPS;RECORTE;2022-08-04;5;5;0;5;N
ITABUNA;172;STC;RECORTE;2022-08-04;3;2;1;5;S
SENHOR DO BONFIM;454;STC;CORTE;2022-08-25;13;12;1;5;N
SEABRA;442;EPS;CORTE;2022-08-22;8;6;2;2;N
POSTO DA MATA;378;EPS;CORTE;2022-08-22;3;3;0;2;N
CONCEICAO DO COITE;72;EPS;DISJUNTOR;2022-08-23;1;1;0;3;N
SANTA MARIA DA VITORIA;418;EPS;CORTE;2022-08-05;8;0;8;6;N
ITAPOAN;253;EPS;CORTE;2022-08-05;23;0;23;6;N
BOM JESUS DA LAPA;28;STC;CORTE;2022-08-02;10;10;0;3;N
BRUMADO;41;STC;CORTE;2022-08-16;10;10;0;3;N
FEIRA DE SANTANA SUL;124;STC;CORTE;2022-08-23;21;21;0;3;N
CAMACARI;55;EPS;CORTE;2022-08-10;54;53;1;4;N
JUAZEIRO;292;EPS;CORTE;2022-08-19;15;15;0;6;N
ITAPETINGA;244;STC;CORTE;2022-08-12;11;11;0;6;N
JEQUIE;267;STC;CORTE;2022-08-08;11;11;0;2;N
IBOTIRAMA;169;STC;CORTE;2022-08-19;16;16;0;6;N
ITABUNA;227;EPS;CORTE;2022-08-18;15;14;1;5;N
RIBEIRA DO POMBAL;404;STC;CORTE;2022-08-11;11;11;0;5;N
FEIRA DE SANTANA SUL;128;EPS;RECORTE;2022-08-11;20;19;1;5;N
FEIRA DE SANTANA NORTE;110;EPS;CORTE;2022-08-16;30;30;0;3;N
SEABRA;212;EPS;CORTE;2022-08-12;14;14;0;6;N
VITORIA DA CONQUISTA;505;EPS;CORTE;2022-08-12;15;14;1;6;N
SANTO ANTONIO DE JESUS;434;STC;CORTE;2022-08-12;19;19;0;6;N
SENHOR DO BONFIM;450;STC;CORTE;2022-08-22;12;12;0;2;S
GUANAMBI;152;STC;CORTE;2022-08-11;16;16;0;5;N
SANTA MARIA DA VITORIA;414;EPS;CORTE;2022-08-04;8;8;0;5;N
SEABRA;440;STC;CORTE;2022-08-11;11;10;1;5;N
IBOTIRAMA;163;EPS;BAIXA;2022-08-04;7;7;0;5;N
SANTO ANTONIO DE JESUS;9;EPS;CORTE;2022-08-22;8;8;0;2;N
TEIXEIRA DE FREITAS;473;EPS;RECORTE;2022-08-11;16;16;0;5;N
SENHOR DO BONFIM;453;EPS;RECORTE;2022-08-24;11;11;0;4;N
JACOBINA;264;EPS;CORTE;2022-08-03;6;5;1;4;N
ALAGOINHAS;1;EPS;BAIXA;2022-08-11;38;35;3;5;N
AMARGOSA;5;EPS;BAIXA;2022-08-24;1;1;0;4;N
EUNAPOLIS;97;EPS;BAIXA;2022-08-04;4;2;2;5;N
