ZONA;TURMA;CARTEIRA;TOTAL_ESPERADO_MAPA;NOTAS_ESPERADAS_ATENA;NOTAS_GERADAS_TAB4;DEFASAGEM_GERACAO;DEFASAGEM_MAPA;DEFASAGEM_PROGRAMACAO;QTD_TURMAS;QTD_NOTAS;JUSTIFICATIVA;QTD_SUSCETIVEIS;VALOR_COBRAVEL;PECLD;TICKET_COBRAVEL;TICKET_PECLD
0480;EPS;RECORTE;0,0;25,0;21,0;4,0;-25,0;;;;;481,0;418930,36000000004;165177,481291497;870,9570893970895;343,4043270093493
0481;EPS;RECORTE;0,0;25,0;15,0;10,0;-25,0;;;;;317,0;330353,91;154978,832768027;1042,1258990536278;488,8922169338391
0482;EPS;RECORTE;13,0;38,0;21,0;17,0;-25,0;;;;;234,0;289115,82999999996;106919,659963518;1235,5377350427348;456,92162377571793
0485;EPS;RECORTE;52,0;91,0;76,0;15,0;-39,0;;;;;289,0;903528,8200000001;552042,620933733;3126,3973010380623;1910,1820793554775
0486;EPS;CORTE;11,0;10,0;0,0;10,0;1,0;;;;;58,0;50264,07;20985,495792528;866,6218965517241;361,81889297462067
0487;EPS;CORTE;11,0;11,0;0,0;11,0;0,0;;;;;458,0;644520,46;235973,335027808;1407,2499126637554;515,2256223314586
0487;EPS;RECORTE;0,0;11,0;8,0;3,0;-11,0;;;;;37,0;149377,89;70325,580443077;4037,2402702702707;1900,6913633264055
0490;EPS;CORTE;22,0;22,0;0,0;22,0;0,0;;;;;876,0;1020472,2499999999;474005,385705379;1164,9226598173514;541,10203847646
0491;EPS;CORTE;22,0;22,0;0,0;22,0;0,0;;;;;715,0;781564,6900000002;356597,023337311;1093,0974685314688;498,73709557665876
0492;STC;CORTE;11,0;11,0;10,0;1,0;0,0;;;;;213,0;217079,55000000005;95649,92475725;1019,1528169014086;449,06067961150234
0492;EPS;CORTE;22,0;18,0;0,0;18,0;4,0;;;;;213,0;217079,55000000005;95649,92475725;1019,1528169014086;449,06067961150234
0493;STC;CORTE;17,0;17,0;17,0;0,0;0,0;;;;;98,0;69078,03000000001;28644,370133511;704,8778571428572;292,2894911582755
0493;EPS;CORTE;11,0;11,0;0,0;11,0;0,0;;;;;98,0;69078,03000000001;28644,370133511;704,8778571428572;292,2894911582755
0494;EPS;CORTE;11,0;9,0;0,0;9,0;2,0;;;;;464,0;433772,5399999999;220365,495549115;934,8546120689654;474,9256369592996
0494;EPS;DISJUNTOR;;20,0;0,0;20,0;;;;;;148,0;70734,75;17781,243647179;477,9375;120,14353815661487
0495;EPS;CORTE;33,0;32,0;0,0;32,0;1,0;;;;;280,0;297006,44;127926,258026368;1060,7372857142857;456,87949295131426
0495;EPS;RECORTE;0,0;2,0;2,0;0,0;-2,0;;;;;294,0;418180,22;250144,757872452;1422,381700680272;850,8325097702449
0496;EPS;RECORTE;0,0;23,0;22,0;1,0;-23,0;;;;;57,0;44676,119999999995;14379,141538637;783,7915789473683;252,2656410287193
0496;STC;RECORTE;21,0;16,0;16,0;0,0;5,0;;;;;57,0;44676,119999999995;14379,141538637;783,7915789473683;252,2656410287193
0497;EPS;DISJUNTOR;;19,0;0,0;19,0;;;;;;95,0;46888,57000000001;8652,791717796;493,5638947368422;91,08201808206316
0497;EPS;RECORTE;0,0;169,0;169,0;0,0;-169,0;;;;;93,0;69731,96000000002;29703,349389004;749,8060215053765;319,3908536452043
0498;EPS;DISJUNTOR;;1,0;0,0;1,0;;;;;;27,0;14461,019999999999;2155,780987076;535,5933333333332;79,84374026207408
0498;EPS;RECORTE;0,0;51,0;51,0;0,0;-51,0;;;;;142,0;97989,02;44246,919738786;690,0635211267606;311,5980263294789
0499;STC;CORTE;11,0;11,0;9,0;2,0;0,0;;;;;65,0;64784,75000000001;15909,834975482;996,6884615384616;244,7666919304923
