UTD;ZONA;CARTEIRA;TURMA;TOTAL_ESPERADO_MAPA;TOTAL_ESPERADO_ATENA;DATA_PEDIDO;DIA_SEMANA;FLAG_DEF
PERIPERI;347;CORTE;EPS;20,0;;2022-08-19;6;
PERIPERI;348;CORTE;EPS;20,0;;2022-08-19;6;
PERIPERI;349;CORTE;EPS;10,0;;2022-08-19;6;
SEABRA;441;CORTE;EPS;9,0;;2022-08-19;6;
BRUMADO;49;CORTE;STC;10,0;;2022-08-19;6;
BRUMADO;47;CORTE;STC;10,0;;2022-08-19;6;
CONCEICAO DO COITE;68;RECORTE;STC;10,0;;2022-08-19;6;
CONCEICAO DO COITE;64;CORTE;STC;10,0;;2022-08-19;6;
CONCEICAO DO COITE;72;CORTE;STC;10,0;;2022-08-19;6;
ESPLANADA;78;CORTE;STC;10,0;;2022-08-19;6;
ESPLANADA;77;CORTE;STC;10,0;;2022-08-19;6;
ESPLANADA;80;CORTE;STC;10,0;;2022-08-19;6;
ESPLANADA;83;CORTE;STC;10,0;;2022-08-19;6;
FEIRA DE SANTANA NORTE;107;CORTE;STC;10,0;;2022-08-19;6;
RIBEIRA DO POMBAL;399;CORTE;STC;10,0;;2022-08-19;6;
SERRINHA;459;RECORTE;STC;10,0;;2022-08-19;6;
SERRINHA;456;CORTE;STC;10,0;;2022-08-19;6;
VITORIA DA CONQUISTA;500;CORTE;STC;10,0;;2022-08-19;6;
PERIPERI;347;CORTE;EPS;20,0;;2022-08-22;2;
PERIPERI;348;CORTE;EPS;20,0;;2022-08-22;2;
PERIPERI;349;CORTE;EPS;10,0;;2022-08-22;2;
BRUMADO;44;CORTE;STC;10,0;;2022-08-22;2;
BRUMADO;48;CORTE;STC;10,0;;2022-08-22;2;
ESPLANADA;78;CORTE;STC;20,0;;2022-08-22;2;
PAULO AFONSO;341;RECORTE;STC;10,0;;2022-08-22;2;
RIBEIRA DO POMBAL;399;CORTE;STC;10,0;;2022-08-22;2;
SENHOR DO BONFIM;449;RECORTE;STC;10,0;;2022-08-22;2;
SENHOR DO BONFIM;449;CORTE;STC;10,0;;2022-08-22;2;
SENHOR DO BONFIM;445;CORTE;STC;10,0;;2022-08-22;2;
SERRINHA;456;RECORTE;STC;10,0;;2022-08-22;2;
SERRINHA;459;CORTE;STC;10,0;;2022-08-22;2;
VALENCA;494;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;500;CORTE;STC;10,0;;2022-08-22;2;
PERIPERI;347;CORTE;EPS;20,0;;2022-08-23;3;
PERIPERI;348;CORTE;EPS;20,0;;2022-08-23;3;
PERIPERI;349;CORTE;EPS;10,0;;2022-08-23;3;
CONCEICAO DO COITE;64;RECORTE;STC;10,0;;2022-08-23;3;
CONCEICAO DO COITE;72;RECORTE;STC;10,0;;2022-08-23;3;
CONCEICAO DO COITE;68;RECORTE;STC;10,0;;2022-08-23;3;
CONCEICAO DO COITE;64;CORTE;STC;10,0;;2022-08-23;3;
CONCEICAO DO COITE;72;CORTE;STC;10,0;;2022-08-23;3;
RIBEIRA DO POMBAL;399;CORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;445;RECORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;450;RECORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;449;CORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;445;CORTE;STC;10,0;;2022-08-23;3;
SERRINHA;456;CORTE;STC;10,0;;2022-08-23;3;
VALENCA;494;RECORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;519;RECORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;500;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;521;CORTE;STC;10,0;;2022-08-23;3;
CAMACARI;52;RECORTE;EPS;9,0;;2022-08-24;4;
ITABUNA;226;RECORTE;EPS;9,0;;2022-08-24;4;
ITABUNA;230;RECORTE;EPS;9,0;;2022-08-24;4;
ITABUNA;232;RECORTE;EPS;9,0;;2022-08-24;4;
ITABUNA;233;RECORTE;EPS;9,0;;2022-08-24;4;
ITAPETINGA;239;CORTE;EPS;9,0;;2022-08-24;4;
SENHOR DO BONFIM;445;RECORTE;EPS;9,0;;2022-08-24;4;
SENHOR DO BONFIM;454;RECORTE;EPS;9,0;;2022-08-24;4;
SENHOR DO BONFIM;450;RECORTE;EPS;9,0;;2022-08-24;4;
SENHOR DO BONFIM;447;RECORTE;EPS;9,0;;2022-08-24;4;
RIBEIRA DO POMBAL;399;RECORTE;STC;10,0;;2022-08-24;4;
VITORIA DA CONQUISTA;519;RECORTE;STC;10,0;;2022-08-24;4;
VITORIA DA CONQUISTA;521;RECORTE;STC;10,0;;2022-08-24;4;
CAMACARI;50;RECORTE;EPS;36,0;;2022-08-25;5;
CAMACARI;52;RECORTE;EPS;18,0;;2022-08-25;5;
CAMACARI;55;RECORTE;EPS;18,0;;2022-08-25;5;
JUAZEIRO;284;RECORTE;EPS;10,0;;2022-08-25;5;
JUAZEIRO;285;RECORTE;EPS;10,0;;2022-08-25;5;
JUAZEIRO;290;RECORTE;EPS;50,0;;2022-08-25;5;
JUAZEIRO;292;RECORTE;EPS;10,0;;2022-08-25;5;
LAURO DE FREITAS;293;RECORTE;EPS;20,0;;2022-08-25;5;
LAURO DE FREITAS;294;RECORTE;EPS;30,0;;2022-08-25;5;
LAURO DE FREITAS;295;RECORTE;EPS;10,0;;2022-08-25;5;
LAURO DE FREITAS;296;RECORTE;EPS;20,0;;2022-08-25;5;
LAURO DE FREITAS;298;RECORTE;EPS;30,0;;2022-08-25;5;
PERIPERI;347;CORTE;EPS;20,0;;2022-08-25;5;
PERIPERI;348;CORTE;EPS;20,0;;2022-08-25;5;
PERIPERI;349;CORTE;EPS;10,0;;2022-08-25;5;
PIRAJA;350;CORTE;EPS;9,0;;2022-08-25;5;
PIRAJA;352;CORTE;EPS;9,0;;2022-08-25;5;
PIRAJA;353;CORTE;EPS;27,0;;2022-08-25;5;
PIRAJA;355;CORTE;EPS;27,0;;2022-08-25;5;
VALENCA;490;CORTE;EPS;18,0;;2022-08-25;5;
VALENCA;493;CORTE;EPS;9,0;;2022-08-25;5;
VALENCA;494;CORTE;EPS;9,0;;2022-08-25;5;
VALENCA;495;CORTE;EPS;27,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;122;BAIXA;EPS;20,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;123;BAIXA;EPS;40,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;124;BAIXA;EPS;40,0;;2022-08-25;5;
JACOBINA;255;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;256;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;257;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;258;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;259;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;260;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;261;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;263;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;264;BAIXA;EPS;9,0;;2022-08-25;5;
JACOBINA;534;BAIXA;EPS;9,0;;2022-08-25;5;
BRUMADO;44;CORTE;STC;10,0;;2022-08-25;5;
BRUMADO;49;CORTE;STC;10,0;;2022-08-25;5;
CONCEICAO DO COITE;64;CORTE;STC;10,0;;2022-08-25;5;
CONCEICAO DO COITE;62;CORTE;STC;10,0;;2022-08-25;5;
CONCEICAO DO COITE;72;CORTE;STC;10,0;;2022-08-25;5;
CONCEICAO DO COITE;68;CORTE;STC;10,0;;2022-08-25;5;
ESPLANADA;78;CORTE;STC;10,0;;2022-08-25;5;
RIBEIRA DO POMBAL;399;CORTE;STC;10,0;;2022-08-25;5;
SENHOR DO BONFIM;449;CORTE;STC;10,0;;2022-08-25;5;
SENHOR DO BONFIM;445;CORTE;STC;10,0;;2022-08-25;5;
SERRINHA;456;RECORTE;STC;10,0;;2022-08-25;5;
SERRINHA;459;CORTE;STC;10,0;;2022-08-25;5;
VITORIA DA CONQUISTA;500;CORTE;STC;10,0;;2022-08-25;5;
VITORIA DA CONQUISTA;519;CORTE;STC;10,0;;2022-08-25;5;
CAMACARI;50;CORTE;EPS;18,0;;2022-08-19;6;
CAMACARI;52;CORTE;EPS;18,0;;2022-08-19;6;
CAMACARI;55;CORTE;EPS;18,0;;2022-08-19;6;
GRACA;130;CORTE;EPS;57,0;;2022-08-19;6;
GRACA;131;CORTE;EPS;19,0;;2022-08-19;6;
GRACA;132;CORTE;EPS;19,0;;2022-08-19;6;
GRACA;134;CORTE;EPS;38,0;;2022-08-19;6;
GRACA;135;CORTE;EPS;76,0;;2022-08-19;6;
GRACA;136;CORTE;EPS;57,0;;2022-08-19;6;
GRACA;137;CORTE;EPS;19,0;;2022-08-19;6;
SEABRA;212;CORTE;EPS;9,0;;2022-08-19;6;
SEABRA;443;CORTE;EPS;9,0;;2022-08-19;6;
SEABRA;439;CORTE;EPS;9,0;;2022-08-19;6;
SEABRA;438;CORTE;EPS;9,0;;2022-08-19;6;
BARREIRAS;16;CORTE;STC;19,0;;2022-08-19;6;
BRUMADO;37;CORTE;STC;10,0;;2022-08-19;6;
BRUMADO;35;CORTE;STC;10,0;;2022-08-19;6;
BRUMADO;41;CORTE;STC;10,0;;2022-08-19;6;
CONCEICAO DO COITE;65;CORTE;STC;10,0;;2022-08-19;6;
CONCEICAO DO COITE;73;CORTE;STC;10,0;;2022-08-19;6;
ESPLANADA;82;CORTE;STC;10,0;;2022-08-19;6;
EUNAPOLIS;102;CORTE;STC;10,0;;2022-08-19;6;
FEIRA DE SANTANA NORTE;112;RECORTE;STC;19,0;;2022-08-19;6;
FEIRA DE SANTANA NORTE;112;CORTE;STC;19,0;;2022-08-19;6;
FEIRA DE SANTANA NORTE;106;CORTE;STC;19,0;;2022-08-19;6;
FEIRA DE SANTANA SUL;122;CORTE;STC;19,0;;2022-08-19;6;
FEIRA DE SANTANA SUL;124;CORTE;STC;19,0;;2022-08-19;6;
GUANAMBI;142;CORTE;STC;19,0;;2022-08-19;6;
ILHEUS;178;RECORTE;STC;19,0;;2022-08-19;6;
ILHEUS;180;RECORTE;STC;19,0;;2022-08-19;6;
IRECE;197;CORTE;STC;19,0;;2022-08-19;6;
IRECE;203;CORTE;STC;19,0;;2022-08-19;6;
IRECE;205;CORTE;STC;19,0;;2022-08-19;6;
IRECE;198;CORTE;STC;19,0;;2022-08-19;6;
IRECE;193;CORTE;STC;38,0;;2022-08-19;6;
IRECE;207;CORTE;STC;19,0;;2022-08-19;6;
IRECE;211;CORTE;STC;19,0;;2022-08-19;6;
ITABERABA;215;CORTE;STC;19,0;;2022-08-19;6;
ITABERABA;217;CORTE;STC;38,0;;2022-08-19;6;
ITABUNA;230;CORTE;STC;19,0;;2022-08-19;6;
ITAPETINGA;244;CORTE;STC;10,0;;2022-08-19;6;
JEQUIE;266;CORTE;STC;10,0;;2022-08-19;6;
JEQUIE;269;CORTE;STC;10,0;;2022-08-19;6;
JEQUIE;276;CORTE;STC;10,0;;2022-08-19;6;
JEQUIE;278;CORTE;STC;10,0;;2022-08-19;6;
JEQUIE;279;CORTE;STC;10,0;;2022-08-19;6;
JEQUIE;282;CORTE;STC;10,0;;2022-08-19;6;
LUIS EDUARDO MAGALHAES;323;CORTE;STC;19,0;;2022-08-19;6;
LUIS EDUARDO MAGALHAES;320;CORTE;STC;19,0;;2022-08-19;6;
PAULO AFONSO;340;RECORTE;STC;10,0;;2022-08-19;6;
PAULO AFONSO;328;CORTE;STC;10,0;;2022-08-19;6;
PAULO AFONSO;401;CORTE;STC;10,0;;2022-08-19;6;
PAULO AFONSO;403;CORTE;STC;10,0;;2022-08-19;6;
PITUBA;359;RECORTE;STC;19,0;;2022-08-19;6;
REMANSO;393;CORTE;STC;10,0;;2022-08-19;6;
REMANSO;394;CORTE;STC;10,0;;2022-08-19;6;
RIBEIRA DO POMBAL;404;CORTE;STC;10,0;;2022-08-19;6;
RIBEIRA DO POMBAL;406;CORTE;STC;10,0;;2022-08-19;6;
RIBEIRA DO POMBAL;410;CORTE;STC;10,0;;2022-08-19;6;
SANTO AMARO;424;CORTE;STC;19,0;;2022-08-19;6;
SANTO AMARO;421;CORTE;STC;19,0;;2022-08-19;6;
SANTO AMARO;422;CORTE;STC;38,0;;2022-08-19;6;
SERRINHA;467;CORTE;STC;10,0;;2022-08-19;6;
VITORIA DA CONQUISTA;510;CORTE;STC;10,0;;2022-08-19;6;
VITORIA DA CONQUISTA;525;CORTE;STC;10,0;;2022-08-19;6;
VITORIA DA CONQUISTA;513;CORTE;STC;10,0;;2022-08-19;6;
VITORIA DA CONQUISTA;517;CORTE;STC;10,0;;2022-08-19;6;
VITORIA DA CONQUISTA;507;CORTE;STC;10,0;;2022-08-19;6;
VITORIA DA CONQUISTA;515;CORTE;STC;10,0;;2022-08-19;6;
VITORIA DA CONQUISTA;518;CORTE;STC;10,0;;2022-08-19;6;
VITORIA DA CONQUISTA;524;CORTE;STC;10,0;;2022-08-19;6;
CAMACARI;50;CORTE;EPS;18,0;;2022-08-22;2;
CAMACARI;52;CORTE;EPS;18,0;;2022-08-22;2;
CAMACARI;55;CORTE;EPS;18,0;;2022-08-22;2;
CANDEIAS;58;CORTE;EPS;38,0;;2022-08-22;2;
CANDEIAS;59;CORTE;EPS;19,0;;2022-08-22;2;
GRACA;130;CORTE;EPS;57,0;;2022-08-22;2;
GRACA;132;CORTE;EPS;19,0;;2022-08-22;2;
GRACA;134;CORTE;EPS;38,0;;2022-08-22;2;
GRACA;135;CORTE;EPS;76,0;;2022-08-22;2;
GRACA;136;CORTE;EPS;57,0;;2022-08-22;2;
GRACA;137;CORTE;EPS;19,0;;2022-08-22;2;
BARREIRAS;16;RECORTE;STC;19,0;;2022-08-22;2;
BARREIRAS;16;CORTE;STC;19,0;;2022-08-22;2;
BARREIRAS;20;CORTE;STC;19,0;;2022-08-22;2;
BRUMADO;37;CORTE;STC;10,0;;2022-08-22;2;
BRUMADO;46;CORTE;STC;10,0;;2022-08-22;2;
BRUMADO;43;CORTE;STC;10,0;;2022-08-22;2;
BRUMADO;38;CORTE;STC;10,0;;2022-08-22;2;
ESPLANADA;84;CORTE;STC;10,0;;2022-08-22;2;
ESPLANADA;81;CORTE;STC;10,0;;2022-08-22;2;
FEIRA DE SANTANA SUL;122;CORTE;STC;19,0;;2022-08-22;2;
FEIRA DE SANTANA SUL;124;CORTE;STC;19,0;;2022-08-22;2;
GUANAMBI;142;CORTE;STC;19,0;;2022-08-22;2;
ILHEUS;178;RECORTE;STC;19,0;;2022-08-22;2;
ILHEUS;180;RECORTE;STC;19,0;;2022-08-22;2;
IRECE;197;CORTE;STC;19,0;;2022-08-22;2;
IRECE;203;CORTE;STC;19,0;;2022-08-22;2;
IRECE;205;CORTE;STC;19,0;;2022-08-22;2;
IRECE;198;CORTE;STC;19,0;;2022-08-22;2;
IRECE;193;CORTE;STC;38,0;;2022-08-22;2;
IRECE;207;CORTE;STC;19,0;;2022-08-22;2;
IRECE;211;CORTE;STC;19,0;;2022-08-22;2;
ITABERABA;215;CORTE;STC;19,0;;2022-08-22;2;
ITABERABA;217;CORTE;STC;38,0;;2022-08-22;2;
ITAPETINGA;240;CORTE;STC;10,0;;2022-08-22;2;
JEQUIE;266;RECORTE;STC;10,0;;2022-08-22;2;
JEQUIE;281;RECORTE;STC;10,0;;2022-08-22;2;
JEQUIE;267;CORTE;STC;10,0;;2022-08-22;2;
JEQUIE;273;CORTE;STC;10,0;;2022-08-22;2;
JEQUIE;275;CORTE;STC;10,0;;2022-08-22;2;
JEQUIE;279;CORTE;STC;10,0;;2022-08-22;2;
LUIS EDUARDO MAGALHAES;323;CORTE;STC;19,0;;2022-08-22;2;
LUIS EDUARDO MAGALHAES;320;CORTE;STC;19,0;;2022-08-22;2;
PAULO AFONSO;401;CORTE;STC;10,0;;2022-08-22;2;
PITUBA;357;RECORTE;STC;19,0;;2022-08-22;2;
RIBEIRA DO POMBAL;397;CORTE;STC;10,0;;2022-08-22;2;
RIBEIRA DO POMBAL;404;CORTE;STC;10,0;;2022-08-22;2;
RIBEIRA DO POMBAL;410;CORTE;STC;10,0;;2022-08-22;2;
SANTO AMARO;422;RECORTE;STC;19,0;;2022-08-22;2;
SANTO AMARO;424;CORTE;STC;19,0;;2022-08-22;2;
SANTO AMARO;421;CORTE;STC;19,0;;2022-08-22;2;
SANTO AMARO;422;CORTE;STC;19,0;;2022-08-22;2;
SENHOR DO BONFIM;446;CORTE;STC;10,0;;2022-08-22;2;
SENHOR DO BONFIM;451;CORTE;STC;10,0;;2022-08-22;2;
SENHOR DO BONFIM;452;CORTE;STC;10,0;;2022-08-22;2;
SERRINHA;467;RECORTE;STC;10,0;;2022-08-22;2;
SERRINHA;455;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;499;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;504;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;523;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;517;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;506;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;508;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;502;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;503;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;520;CORTE;STC;10,0;;2022-08-22;2;
VITORIA DA CONQUISTA;522;CORTE;STC;10,0;;2022-08-22;2;
CAMACARI;50;CORTE;EPS;18,0;;2022-08-23;3;
CAMACARI;52;CORTE;EPS;18,0;;2022-08-23;3;
CANDEIAS;58;CORTE;EPS;38,0;;2022-08-23;3;
CANDEIAS;59;CORTE;EPS;19,0;;2022-08-23;3;
GRACA;130;CORTE;EPS;57,0;;2022-08-23;3;
GRACA;131;CORTE;EPS;19,0;;2022-08-23;3;
GRACA;132;CORTE;EPS;19,0;;2022-08-23;3;
GRACA;134;CORTE;EPS;38,0;;2022-08-23;3;
GRACA;135;CORTE;EPS;76,0;;2022-08-23;3;
GRACA;136;CORTE;EPS;57,0;;2022-08-23;3;
GRACA;137;CORTE;EPS;19,0;;2022-08-23;3;
BARREIRAS;20;RECORTE;STC;19,0;;2022-08-23;3;
BARREIRAS;16;CORTE;STC;38,0;;2022-08-23;3;
BARREIRAS;20;CORTE;STC;38,0;;2022-08-23;3;
BRUMADO;37;CORTE;STC;10,0;;2022-08-23;3;
BRUMADO;46;CORTE;STC;10,0;;2022-08-23;3;
BRUMADO;36;CORTE;STC;10,0;;2022-08-23;3;
BRUMADO;42;CORTE;STC;10,0;;2022-08-23;3;
BRUMADO;43;CORTE;STC;10,0;;2022-08-23;3;
BRUMADO;41;CORTE;STC;10,0;;2022-08-23;3;
BRUMADO;45;CORTE;STC;10,0;;2022-08-23;3;
BRUMADO;39;CORTE;STC;10,0;;2022-08-23;3;
CONCEICAO DO COITE;65;CORTE;STC;10,0;;2022-08-23;3;
ESPLANADA;79;RECORTE;STC;19,0;;2022-08-23;3;
EUNAPOLIS;97;RECORTE;STC;19,0;;2022-08-23;3;
EUNAPOLIS;90;CORTE;STC;10,0;;2022-08-23;3;
EUNAPOLIS;92;CORTE;STC;10,0;;2022-08-23;3;
EUNAPOLIS;97;CORTE;STC;19,0;;2022-08-23;3;
FEIRA DE SANTANA SUL;122;RECORTE;STC;19,0;;2022-08-23;3;
FEIRA DE SANTANA SUL;124;CORTE;STC;19,0;;2022-08-23;3;
GUANAMBI;142;CORTE;STC;19,0;;2022-08-23;3;
ILHEUS;178;RECORTE;STC;19,0;;2022-08-23;3;
ILHEUS;180;RECORTE;STC;19,0;;2022-08-23;3;
IRECE;197;CORTE;STC;19,0;;2022-08-23;3;
IRECE;203;CORTE;STC;19,0;;2022-08-23;3;
IRECE;205;CORTE;STC;19,0;;2022-08-23;3;
IRECE;193;CORTE;STC;38,0;;2022-08-23;3;
IRECE;207;CORTE;STC;19,0;;2022-08-23;3;
IRECE;211;CORTE;STC;19,0;;2022-08-23;3;
ITABERABA;215;CORTE;STC;19,0;;2022-08-23;3;
ITABERABA;217;CORTE;STC;38,0;;2022-08-23;3;
ITAPETINGA;243;CORTE;STC;10,0;;2022-08-23;3;
ITAPETINGA;244;CORTE;STC;10,0;;2022-08-23;3;
JEQUIE;266;CORTE;STC;10,0;;2022-08-23;3;
JEQUIE;272;CORTE;STC;10,0;;2022-08-23;3;
JEQUIE;275;CORTE;STC;10,0;;2022-08-23;3;
JEQUIE;276;CORTE;STC;10,0;;2022-08-23;3;
JEQUIE;277;CORTE;STC;10,0;;2022-08-23;3;
JEQUIE;282;CORTE;STC;10,0;;2022-08-23;3;
LUIS EDUARDO MAGALHAES;323;RECORTE;STC;19,0;;2022-08-23;3;
LUIS EDUARDO MAGALHAES;323;CORTE;STC;38,0;;2022-08-23;3;
LUIS EDUARDO MAGALHAES;320;CORTE;STC;19,0;;2022-08-23;3;
PAULO AFONSO;401;CORTE;STC;10,0;;2022-08-23;3;
PAULO AFONSO;402;CORTE;STC;10,0;;2022-08-23;3;
PAULO AFONSO;407;CORTE;STC;10,0;;2022-08-23;3;
PITUBA;357;RECORTE;STC;19,0;;2022-08-23;3;
RIBEIRA DO POMBAL;397;CORTE;STC;10,0;;2022-08-23;3;
RIBEIRA DO POMBAL;404;CORTE;STC;10,0;;2022-08-23;3;
RIBEIRA DO POMBAL;410;CORTE;STC;10,0;;2022-08-23;3;
SANTO AMARO;424;RECORTE;STC;19,0;;2022-08-23;3;
SANTO AMARO;421;RECORTE;STC;19,0;;2022-08-23;3;
SANTO AMARO;422;RECORTE;STC;19,0;;2022-08-23;3;
SANTO AMARO;424;CORTE;STC;19,0;;2022-08-23;3;
SANTO AMARO;421;CORTE;STC;19,0;;2022-08-23;3;
SANTO AMARO;422;CORTE;STC;19,0;;2022-08-23;3;
SENHOR DO BONFIM;452;RECORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;446;CORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;451;CORTE;STC;10,0;;2022-08-23;3;
SENHOR DO BONFIM;452;CORTE;STC;10,0;;2022-08-23;3;
SERRINHA;462;RECORTE;STC;10,0;;2022-08-23;3;
SERRINHA;467;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;506;RECORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;499;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;525;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;513;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;516;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;505;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;507;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;502;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;518;CORTE;STC;10,0;;2022-08-23;3;
VITORIA DA CONQUISTA;520;CORTE;STC;10,0;;2022-08-23;3;
GUANAMBI;142;RECORTE;EPS;19,0;;2022-08-24;4;
ITABUNA;184;RECORTE;EPS;27,0;;2022-08-24;4;
ITABUNA;185;RECORTE;EPS;9,0;;2022-08-24;4;
ITABUNA;225;RECORTE;EPS;9,0;;2022-08-24;4;
ITABUNA;234;RECORTE;EPS;9,0;;2022-08-24;4;
ITAPETINGA;241;CORTE;EPS;9,0;;2022-08-24;4;
ITAPETINGA;247;CORTE;EPS;9,0;;2022-08-24;4;
SANTO AMARO;421;RECORTE;EPS;19,0;;2022-08-24;4;
SANTO AMARO;422;RECORTE;EPS;19,0;;2022-08-24;4;
SANTO AMARO;424;RECORTE;EPS;19,0;;2022-08-24;4;
SENHOR DO BONFIM;453;RECORTE;EPS;9,0;;2022-08-24;4;
SENHOR DO BONFIM;451;RECORTE;EPS;9,0;;2022-08-24;4;
SENHOR DO BONFIM;446;RECORTE;EPS;9,0;;2022-08-24;4;
FEIRA DE SANTANA SUL;122;RECORTE;STC;19,0;;2022-08-24;4;
FEIRA DE SANTANA SUL;123;RECORTE;STC;19,0;;2022-08-24;4;
GUANAMBI;142;RECORTE;STC;19,0;;2022-08-24;4;
ILHEUS;178;RECORTE;STC;19,0;;2022-08-24;4;
ILHEUS;180;RECORTE;STC;19,0;;2022-08-24;4;
IRECE;197;RECORTE;STC;19,0;;2022-08-24;4;
IRECE;199;RECORTE;STC;19,0;;2022-08-24;4;
IRECE;203;RECORTE;STC;19,0;;2022-08-24;4;
IRECE;205;RECORTE;STC;19,0;;2022-08-24;4;
IRECE;198;RECORTE;STC;19,0;;2022-08-24;4;
IRECE;193;RECORTE;STC;38,0;;2022-08-24;4;
IRECE;207;RECORTE;STC;19,0;;2022-08-24;4;
IRECE;211;RECORTE;STC;19,0;;2022-08-24;4;
ITABERABA;215;RECORTE;STC;19,0;;2022-08-24;4;
ITABERABA;217;RECORTE;STC;57,0;;2022-08-24;4;
ITABUNA;230;RECORTE;STC;19,0;;2022-08-24;4;
LUIS EDUARDO MAGALHAES;320;RECORTE;STC;19,0;;2022-08-24;4;
PAULO AFONSO;407;RECORTE;STC;10,0;;2022-08-24;4;
RIBEIRA DO POMBAL;397;RECORTE;STC;10,0;;2022-08-24;4;
SEABRA;442;RECORTE;STC;19,0;;2022-08-24;4;
GRACA;130;CORTE;EPS;19,0;;2022-08-25;5;
GRACA;131;CORTE;EPS;19,0;;2022-08-25;5;
GRACA;132;CORTE;EPS;38,0;;2022-08-25;5;
GRACA;134;CORTE;EPS;19,0;;2022-08-25;5;
GRACA;136;CORTE;EPS;19,0;;2022-08-25;5;
GRACA;137;CORTE;EPS;57,0;;2022-08-25;5;
JUAZEIRO;289;RECORTE;EPS;10,0;;2022-08-25;5;
JUAZEIRO;291;RECORTE;EPS;10,0;;2022-08-25;5;
PIRAJA;351;CORTE;EPS;9,0;;2022-08-25;5;
PIRAJA;354;CORTE;EPS;9,0;;2022-08-25;5;
VALENCA;486;CORTE;EPS;9,0;;2022-08-25;5;
VALENCA;487;CORTE;EPS;9,0;;2022-08-25;5;
VALENCA;491;CORTE;EPS;18,0;;2022-08-25;5;
VALENCA;492;CORTE;EPS;18,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;125;BAIXA;EPS;20,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;127;BAIXA;EPS;20,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;128;BAIXA;EPS;20,0;;2022-08-25;5;
BARREIRAS;16;CORTE;STC;19,0;;2022-08-25;5;
BARREIRAS;20;CORTE;STC;19,0;;2022-08-25;5;
BRUMADO;37;CORTE;STC;10,0;;2022-08-25;5;
BRUMADO;46;CORTE;STC;10,0;;2022-08-25;5;
BRUMADO;40;CORTE;STC;10,0;;2022-08-25;5;
BRUMADO;38;CORTE;STC;10,0;;2022-08-25;5;
CONCEICAO DO COITE;65;CORTE;STC;10,0;;2022-08-25;5;
ESPLANADA;82;CORTE;STC;10,0;;2022-08-25;5;
ESPLANADA;84;CORTE;STC;10,0;;2022-08-25;5;
ESPLANADA;81;CORTE;STC;10,0;;2022-08-25;5;
EUNAPOLIS;101;CORTE;STC;10,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;122;CORTE;STC;19,0;;2022-08-25;5;
FEIRA DE SANTANA SUL;124;CORTE;STC;19,0;;2022-08-25;5;
GUANAMBI;142;CORTE;STC;19,0;;2022-08-25;5;
