BASE CLICK;ZONA;
ITORORÓ;0239;
FIRMINO ALVES;0243;
ITAPETINGA;0245;
POTIRAGUA;0244;
ITARANTIM;0246;
MAIQUINIQUE;0247;
MACARANI;0248;
SAO CRISTOVAO;0250;
CAJAZEIRAS;0251;
ITAPOAN;0252;
MUSSURUNGA;0253;
CANABRAVA;0254;
MAIRI;0255;
SAUDE;0256;
CAPIM GROSSO;0257;
JACOBINA;0258;
MIGUEL CALMON;0259;
MIRANGABA;0260;
PIRITIBA;0261;
OUROLANDIA;0262;
SERROLANDIA;0263;
JACOBINA NORTE;0264;
JACOBINA SUL;0534;
BRE - BREJOES;0265;
BRE - NOVA ITARANA;0266;
JAG - CRAVOLANDIA;0267;
JAG - IRAJUBA;0268;
JAG - ITAQUARA;0269;
JAG - JAGUAQUARA;0270;
JAG - IPIUNA;0271;
JAG - ITIRUCU;0272;
JEQ - JEQUIE;0273;
JEQ - JEQUIE LESTE;0274;
JEQ - JEQUIE OESTE;0275;
JEQ - ITAJURU;0276;
JEQ - MANOEL VIT.;0277;
JEQ - FLORESTAL;0278;
JEQ - LAFAIETE;0279;
JAG - LAJEDO;0280;
MRC - MARACAS;0281;
MRC - PLANALTINO;0282;
JAG - SANTA INES;0283;
CURACA;0284;
JUAZEIRO - MANIÇOBA;0285;
UAUA;0286;
JUAZEIRO - MASSAROCA;0287;
JUAZEIRO - PINHÕES;0288;
JUAZEIRO - SALITRE;0289;
JUAZEIRO - URBANO;0290;
SOBRADINHO;0291;
SENTO SÉ;0292;
ORLA;0293;
ITINGA;0294;
LAURO DE FREITAS CENTRO;0295;
VIDA NOVA;0296;
AREIA BRANCA;0297;
SIMÕES FILHO;0298;
ABAÍRA;0299;
JUSSIAPE;0300;
BOTUPORA;0301;
CATURAMA;0302;
TANQUE NOVO;0312;
RIO DO PIRES;0303;
ERICO CARDOSO;0304;
PARAMIRIM - CENTRO;0310;
RIO DE CONTAS;0305;
DOM BASILIO;0306;
LIVRAMENTO RURAL OESTE;0307;
LIVRAMENTO RURAL LESTE;0308;
LIVRAMENTO - CENTRO;0309;
PIATA;0311;
LUIS EDUARDO VILAS;0313;
LUIS EDUARDO PLACAS;0314;
REGIAO DO ANEL DA SOJA;0315;
RURAL SAO DESIDERIO;0316;
LUIS EDUARDO SEDE SUL;0317;
FORMOSA DO RIO PRETO;0318;
RIACHÃO DAS NEVES;0319;
SANTA RITA DE CÁSSIA;0320;
SAO DESIDERIO - CATOLANDIA;0321;
RODA VELHA;0322;
LUIS EDUARDO SEDE NORTE;0323;
PAULO AFONSO - MOXOTO-VILA CHESF;0324;
PAULO AFONSO - CENTRO;0325;
ABARE - AGROVILAS;0326;
ABARE - ASSENTAMENTOS;0327;
CANUDOS;0328;
MACURURE - URBANO;0329;
MACURURE - RURAL;0330;
CEL. JOAO SA - CENTRO MALHADA;0331;
CEL. JOAO SA - RURAL;0332;
GLORIA- RURALBAIXA DAS PEDRAS;0333;
GLORIA- RURAL BREJO DO BURGO;0334;
GLORIA;0335;
PAULO AFONSO - RURAL VARZEA;0336;
JREMOABO - RURAL II;0337;
JEREMOABO - URBANO;0338;
JEREMOABO - RURAL I;0339;
PAULO AFONSO - PRAINHA;0340;
PAULO AFONSO - BTN;0341;
PAULO AFONSO - RURAL RIACHO;0342;
PAULO AFONSO - RURAL MALHADA GRANDE;0343;
PAULO AFONSO - RURAL SÃO JOSÉ;0344;
SANTA BRÍGIDA;0345;
RODELAS;0346;
EUCLIDES LESTE;0401;
EUCLIDES CENTRO;0402;
EUCLIDES OESTE;0403;
EUCLIDES SUL;0407;
PERIPERI;0347;
VALERIA;0348;
PLATAFORMA;0349;
PAU DA LIMA;0350;
LIBERDADE;0351;
MATA ESCURA;0352;
CALCADA;0353;
PIRAJA;0354;
SÃO CAETANO;0355;
PITUBA;0356;
BOCA DO RIO;0357;
NARANDIBA;0358;
CABULA;0359;
BELMONTE;0360;
BELMONTE OESTE;0361;
BELMONTE SUL;0362;
CABRALIA CENTRO URBANO;0363;
TRANCOSO RURAL OESTE;0364;
TRANCOSO SUL;0365;
CABRALIA OESTE;0366;
CABRALIA SUL;0367;
CABRALIA LESTE;0368;
BAIANAO RURAL;0369;
PORTO SEGURO CENTRO URBANO;0370;
BAIANAO OESTE;0371;
TRANCOSO RURAL SUL;0372;
PORTO SEGURO SUL;0373;
PORTO SEGURO NORTE;0374;
TRANCOSO CENTRO URBANO;0375;
ARRAIAL DA AJUDA;0376;
BAIANAO CENTRO URBANO;0377;
POSTO DA MATA ARGOLO;0378;
IBIRAPUA;0379;
IBIRAPUA RURAL;0380;
LAJEDAO;0381;
LAJEDAO RURAL;0382;
NOVA VICOSA;0383;
NOVA VICOSA RURAL;0384;
MUCURY;0386;
MUCURI RURAL;0388;
POSTO DA MATA;0385;
POSTO DA MATA ITABATAN;0387;
CASA NOVA – MASSAGANO;0389;
CASA NOVA – SERRA BRANCA;0390;
REMANSO;0391;
CAMPO ALEGRE;0392;
PILÃO - URBANO;0393;
PILÃO – NOVA HOLANDA;0394;
PILÃO – LAGOA DO PADRE;0395;
FÁTIMA;0396;
ANTAS;0397;
RIBEIRA NORTE;0398;
CÍCERO DANTAS;0399;
RIBEIRA DO AMPARO;0400;
OLINDINA;0404;
NOVA SOURE;0405;
PARIPIRANGA;0406;
RIBEIRA SUL;0408;
RIBEIRA CENTRO;0409;
TUCANO;0410;
COCOS;0411;
ROSÁRIO;0412;
FEIRA DA MATA;0413;
CORRENTINA;0414;
CORIBE;0415;
JABORANDI;0416;
STA MARIA DA VITÓRIA;0417;
SAO FELIX DO CORIBE;0418;
COCOS CENTRO;0535;
CORIBE JABORANDI CENTRO;0536;
AMELIA RODRIGUES;0419;
GOV. MANGABEIRA;0420;
CACHOEIRA;0421;
SANTO AMARO;0422;
CONC. DO JACUÍPE;0423;
CORAÇÃO DE MARIA;0424;
MARAGOGIPE;0425;
CRUZ DAS ALMAS -CENTRO;0008;
CRUZ DAS ALMAS - COPLAN;0009;
NAZARE;0426;
CONC.DO ALMEIDA;0427;
SAJ - CENTRO;0428;
ITAPARICA;0429;
SALINAS DA MARGARIDA;0430;
VERA CRUZ - CACHA PREGO;0431;
VERA CRUZ - MAR GRANDE;0432;
SAJ - SAO BENEDITO;0433;
SAJ - ANDAIA;0434;
SAJ - CAJUEIRO;0435;
IBIQUERA;0212;
ANDARAÍ;0436;
NOVA REDENCAO;0437;
LENCOIS;0440;
MUCUGE;0443;
IRAQUARA;0439;
SOUTO SOARES;0444;
BONINAL;0438;
SEABRA;0441;
PALMEIRAS;0442;
ANDORINHA;0445;
SENHOR DO BONFIM;0454;
CAMPO FORMOSO;0450;
CANSANÇÃO;0448;
QUEIMADAS-NORDESTINA;0449;
MONTE SANTO;0453;
PONTO NOVO-FILADELFIA;0451;
ITIÚBA;0452;
JAGUARARI;0446;
ANTONIO GONCALVES-PINDOBACU;0447;
AGUA FRIA;0455;
ARACI;0456;
BIRITINGA;0457;
SERRINHA;0458;
IRARA;0459;
LAMARAO;0460;
LAMARAO II;0461;
OURICANGAS;0462;
SATIRO DIAS;0463;
SERRINHA II;0464;
BARROCAS;0465;
SANTANOPOLIS;0466;
TEOFILANDIA;0467;
SANTA BARBARA;0468;
ALCOBACA;0471;
ALCOBACA-CARAVELAS;0473;
PRADO;0484;
PRADO RURAL;0485;
TEIXEIRA RURAL;0469;
ALCOBACA RURAL SAO JOSE;0470;
MEDEIROS NETO RURAL AGUA LIMPA;0472;
ITANHEM;0474;
ITANHEM RURAL;0475;
VEREDA RURAL;0476;
MEDEIROS NETO;0477;
MEDEIROS NETO RURAL ITUPEVA;0478;
TEIXEIRA CENTRO;0479;
TEIXEIRA SAO LOURENCO;0480;
TEIXEIRA ESTANCIA BIQUINI;0481;
TEIXEIRA NOVA AMERICA;0482;
VEREDA;0483;
APUAREMA;0486;
CAIRU II;0487;
MORRO DE SAO PAULO;0488;
CAIRU I;0489;
CAMAMU;0490;
GANDU;0491;
TANCREDO NEVES;0492;
ITUBERA;0493;
TAPEROA;0494;
VALENCA - RURAL BR-101;0495;
VALENCA - RODOVIARIA;0496;
VALENCA - NOVO HORIZONTE;0497;
VALENCA - CENTRO-BOLIVIA;0498;
ANAGE;0499;
LAGOA DAS FLORES;0500;
BARRA DO CHOÇA;0502;
VTC - CENTRO DIREITA;0503;
BELO CAMPO;0504;
PLANALTO;0506;
CÂNDIDO SALES;0509;
CARAIBAS;0510;
ENCRUZILHADA;0513;
MAETINGA;0514;
PRESIDENTE JANIO QUADROS;0517;
VTC - INFERIOR DIREITA;0518;
VTC - SUPERIOR ESQUERDA;0519;
VTC - SUPERIOR DIREITA;0520;
VTC - INFERIOR ESQUERDA;0521;
RURAL CAPINAL;0522;
RURAL INHOBIM;0523;
RURAL PRADOSO;0524;
TREMEDAL;0525;
CAETANOS;0501;
BOA NOVA;0505;
BOM JESUS DA SERRA;0507;
POCOES;0508;
MIRANTE;0515;
CONDEÚBA;0511;
CORDEIROS;0512;
PIRIPA;0516;
