UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
CONCEICAO DO COITE;SIM;;;;;;1;7;7;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;;;;;;2;32;29;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
CAMACARI;SIM;;;;;;5;11;10;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
CANDEIAS;SIM;;;;;;3;14;13;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
TEIXEIRA DE FREITAS;SIM;;;;;;1;15;14;500;1500;500;DISJUNTOR;EPS;1,0;2,0;0,0;;
