UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
CONCEICAO DO COITE;SIM;0068;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0069;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0074;;;;;1;6;5;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
CONCEICAO DO COITE;SIM;0075;;;;;1;6;5;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ESPLANADA;SIM;0078;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ESPLANADA;SIM;0084;;;;;1;13;11;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ESPLANADA;SIM;0080;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0086;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0090;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0093;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0097;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0099;;;;;1;14;12;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
EUNAPOLIS;SIM;0101;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0108;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0110;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0111;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0112;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0115;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0106;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA NORTE;SIM;0116;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
